label_id_long;label_id;parent_id;segment_description;label_name;
10605020000;1060502;10605;information on household fittings location members;Demographic  Household Data  Marital Status  In partnership living separated;
10605030000;1060503;10605;information on household fittings location members;Demographic  Household Data  Marital Status  In partnership living together;
10605040000;1060504;10605;information on household fittings location members;Demographic  Household Data  Marital Status  Married;
10605050000;1060505;10605;information on household fittings location members;Demographic  Household Data  Marital Status  Single;
10605060000;1060506;10605;information on household fittings location members;Demographic  Household Data  Marital Status  Widowed;
10606000000;10606;106;information on household fittings location members;Demographic  Household Data  Number of Adults;
10606010000;1060601;10606;information on household fittings location members;Demographic  Household Data  Number of Adults  1 Adult;
10606020000;1060602;10606;information on household fittings location members;Demographic  Household Data  Number of Adults  2 Adults;
10606030000;1060603;10606;information on household fittings location members;Demographic  Household Data  Number of Adults  3+ Adults;
10607000000;10607;106;information on household fittings location members;Demographic  Household Data  Number of Children;
10607010000;1060701;10607;information on household fittings location members;Demographic  Household Data  Number of Children  0 Child;
10607020000;1060702;10607;information on household fittings location members;Demographic  Household Data  Number of Children  1 Child;
10607030000;1060703;10607;information on household fittings location members;Demographic  Household Data  Number of Children  2 Child;
10607040000;1060704;10607;information on household fittings location members;Demographic  Household Data  Number of Children  3+ Child;
10608000000;10608;106;information on household fittings location members;Demographic  Household Data  Number of Individuals;
10608010000;1060801;10608;information on household fittings location members;Demographic  Household Data  Number of Individuals  1 person;
10608020000;1060802;10608;information on household fittings location members;Demographic  Household Data  Number of Individuals  2 people;
10608030000;1060803;10608;information on household fittings location members;Demographic  Household Data  Number of Individuals  3 people;
10608040000;1060804;10608;information on household fittings location members;Demographic  Household Data  Number of Individuals  4 people;
10608050000;1060805;10608;information on household fittings location members;Demographic  Household Data  Number of Individuals  5 people ;
10608060000;1060806;10608;information on household fittings location members;Demographic  Household Data  Number of Individuals  6+ people;
10609000000;10609;106;information on household fittings location members;Demographic  Household Data  Ownership;
10609010000;1060901;10609;information on household fittings location members;Demographic  Household Data  Ownership  Owners;
10609010100;106090101;1060901;information on household fittings location members;Demographic  Household Data  Ownership  Owners  Appartment Owners;
10609010200;106090102;1060901;information on household fittings location members;Demographic  Household Data  Ownership  Owners  House Owners;
10609020000;1060902;10609;information on household fittings location members;Demographic  Household Data  Ownership  Renters;
10609020100;106090201;1060902;information on household fittings location members;Demographic  Household Data  Ownership  Renters  Appartment Renters;
10609020200;106090202;1060902;information on household fittings location members;Demographic  Household Data  Ownership  Renters  House Renters;
10610000000;10610;106;information on household fittings location members;Demographic  Household Data  Parental Status;
10610010000;1061001;10610;information on household fittings location members;Demographic  Household Data  Parental Status  Children;
10610010100;106100101;1061001;information on household fittings location members;Demographic  Household Data  Parental Status  Children  Childen > 4 years old;
10610010200;106100102;1061001;information on household fittings location members;Demographic  Household Data  Parental Status  Children  Children =< 4 years old;
10610020000;1061002;10610;information on household fittings location members;Demographic  Household Data  Parental Status  No children;
10611000000;10611;106;information on household fittings location members;Demographic  Household Data  Pet Owner;
10611010000;1061101;10611;information on household fittings location members;Demographic  Household Data  Pet Owner  Birds;
10611020000;1061102;10611;information on household fittings location members;Demographic  Household Data  Pet Owner  Cat;
10611030000;1061103;10611;information on household fittings location members;Demographic  Household Data  Pet Owner  Dog;
10611040000;1061104;10611;information on household fittings location members;Demographic  Household Data  Pet Owner  Fish and Aquariums;
10611050000;1061105;10611;information on household fittings location members;Demographic  Household Data  Pet Owner  Horses;
10611060000;1061106;10611;information on household fittings location members;Demographic  Household Data  Pet Owner  No pets;
10611070000;1061107;10611;information on household fittings location members;Demographic  Household Data  Pet Owner  Other;
10611080000;1061108;10611;information on household fittings location members;Demographic  Household Data  Pet Owner  Reptiles;
10611090000;1061109;10611;information on household fittings location members;Demographic  Household Data  Pet Owner  Rodents;
10612000000;10612;106;information on household fittings location members;Demographic  Household Data  Urbanization;
10612010000;1061201;10612;information on household fittings location members;Demographic  Household Data  Urbanization  100-199.9k people;
10612020000;1061202;10612;information on household fittings location members;Demographic  Household Data  Urbanization  10-19.9k people;
10612030000;1061203;10612;information on household fittings location members;Demographic  Household Data  Urbanization  200k-2M people;
10612040000;1061204;10612;information on household fittings location members;Demographic  Household Data  Urbanization  20-49.9k people;
10612050000;1061205;10612;information on household fittings location members;Demographic  Household Data  Urbanization  2-4.9k people;
10612060000;1061206;10612;information on household fittings location members;Demographic  Household Data  Urbanization  2M+ people;
10612070000;1061207;10612;information on household fittings location members;Demographic  Household Data  Urbanization  50-99.9k people;
10612080000;1061208;10612;information on household fittings location members;Demographic  Household Data  Urbanization  5-9.9k people;
10612090000;1061209;10612;information on household fittings location members;Demographic  Household Data  Urbanization  Rural;
10700000000;107;1;personal income;Demographic  Personal Finance;
10701000000;10701;107;personal income;Demographic  Personal Finance  Income;
10701010000;1070101;10701;personal income;Demographic  Personal Finance  Income  1000 - 1500 €;
10701020000;1070102;10701;personal income;Demographic  Personal Finance  Income  1500 - 2000 €;
10701030000;1070103;10701;personal income;Demographic  Personal Finance  Income  2000 - 2500 €;
10701040000;1070104;10701;personal income;Demographic  Personal Finance  Income  2500 - 3000 €;
10701050000;1070105;10701;personal income;Demographic  Personal Finance  Income  500 - 1000 €;
10701060000;1070106;10701;personal income;Demographic  Personal Finance  Income  below 500 €;
10701070000;1070107;10701;personal income;Demographic  Personal Finance  Income  More than 3000 €;
10701080000;1070108;10701;personal income;Demographic  Personal Finance  Income  No income;
20000000000;2;0;;Interest;
20100000000;201;2;interests related to academic subjects;Interest  Academic Interest;
20101000000;20101;201;interests related to academic subjects;Interest  Academic Interest  Arts and Humanities;
20101010000;2010101;20101;interests related to academic subjects;Interest  Academic Interest  Arts and Humanities  Counseling;
20101020000;2010102;20101;interests related to academic subjects;Interest  Academic Interest  Arts and Humanities  Critical Thinking;
20101030000;2010103;20101;interests related to academic subjects;Interest  Academic Interest  Arts and Humanities  History;
20101040000;2010104;20101;interests related to academic subjects;Interest  Academic Interest  Arts and Humanities  Music and Art;
20101050000;2010105;20101;interests related to academic subjects;Interest  Academic Interest  Arts and Humanities  Philosophy;
20102000000;20102;201;interests related to academic subjects;Interest  Academic Interest  Language Learning;
20103000000;20103;201;interests related to academic subjects;Interest  Academic Interest  Life Sciences;
20103010000;2010301;20103;interests related to academic subjects;Interest  Academic Interest  Life Sciences  Animals and Veterinary Science;
20103020000;2010302;20103;interests related to academic subjects;Interest  Academic Interest  Life Sciences  Bioinformatics;
20103030000;2010303;20103;interests related to academic subjects;Interest  Academic Interest  Life Sciences  Biology;
20103040000;2010304;20103;interests related to academic subjects;Interest  Academic Interest  Life Sciences  Clinical Science;
20103050000;2010305;20103;interests related to academic subjects;Interest  Academic Interest  Life Sciences  Genetics;
20103060000;2010306;20103;interests related to academic subjects;Interest  Academic Interest  Life Sciences  Medicine and Healthcare;
20103070000;2010307;20103;interests related to academic subjects;Interest  Academic Interest  Life Sciences  Nutrition;
20104000000;20104;201;interests related to academic subjects;Interest  Academic Interest  Physical Science and Engineering;
20104010000;2010401;20104;interests related to academic subjects;Interest  Academic Interest  Physical Science and Engineering  Chemistry;
20104020000;2010402;20104;interests related to academic subjects;Interest  Academic Interest  Physical Science and Engineering  Electrical Engineering;
20104030000;2010403;20104;interests related to academic subjects;Interest  Academic Interest  Physical Science and Engineering  Environmental Science and Sustainability;
20104040000;2010404;20104;interests related to academic subjects;Interest  Academic Interest  Physical Science and Engineering  Geography;
